Bar Size,Directed by,Episode title,Guest star,No. in Season,No. in Series,No.,Appearances,Original air date,Production Code (Characters),Production Code,Role(s),Season (Characters),Season,Synopsis,Title,U.S. Viewers,Written by
1000,Mark Kirkland,"""Dancin' Homer""",Daryl Coley,5,18,018–205,1,11/8/1990,7F05,7F05,Bleeding Gums Murphy,2,2,"Homer fires up the crowd at a Springfield Isotopes game and is chosen to be the team's new mascot. He immediately becomes a popular attraction and the Isotopes start a winning streak. As a result, Homer is promoted to the team in Capital City. The Simpsons move to Capital City, but Homer fails to enthrall the crowd, and returns home.","""Dancin' Homer""",26.1,Ken Levine & David Isaacs
1000,Mark Kirkland,"""Dancin' Homer""",Tom Poston,5,18,018–205,1,11/8/1990,7F05,7F05,Capital City Goofball,2,2,"Homer fires up the crowd at a Springfield Isotopes game and is chosen to be the team's new mascot. He immediately becomes a popular attraction and the Isotopes start a winning streak. As a result, Homer is promoted to the team in Capital City. The Simpsons move to Capital City, but Homer fails to enthrall the crowd, and returns home.","""Dancin' Homer""",26.1,Ken Levine & David Isaacs
1000,Mark Kirkland,"""Dancin' Homer""",Ken Levine,5,18,018–205,1,11/8/1990,7F05,7F05,Dan Horde,2,2,"Homer fires up the crowd at a Springfield Isotopes game and is chosen to be the team's new mascot. He immediately becomes a popular attraction and the Isotopes start a winning streak. As a result, Homer is promoted to the team in Capital City. The Simpsons move to Capital City, but Homer fails to enthrall the crowd, and returns home.","""Dancin' Homer""",26.1,Ken Levine & David Isaacs
1000,Mark Kirkland,"""Dancin' Homer""",Tony Bennett,5,18,018–205,1,11/8/1990,7F05,7F05,Himself,2,2,"Homer fires up the crowd at a Springfield Isotopes game and is chosen to be the team's new mascot. He immediately becomes a popular attraction and the Isotopes start a winning streak. As a result, Homer is promoted to the team in Capital City. The Simpsons move to Capital City, but Homer fails to enthrall the crowd, and returns home.","""Dancin' Homer""",26.1,Ken Levine & David Isaacs
1000,David Silverman,"""Bart vs. Thanksgiving""",Greg Berg,7,20,020–207,1,11/22/1990,7F07,7F07,Rory,2,2,"When he is blamed for ruining Thanksgiving, Bart runs away and finds a soup kitchen and some homeless men. Eventually, Bart returns home, intending to apologize but has last minute thoughts and climbs to the roof of theThe Simpsons house where he hears Lisa sobbing. He apologizes to her, and the family happily enjoys a meal of leftovers.","""Bart vs. Thanksgiving""",25.9,George Meyer
1000,Jim Reardon,"""Itchy & Scratchy & Marge""",Alex Rocco,9,22,022–209,1,12/20/1990,7F09,7F09,Roger Meyers Jr.,2,2,"Maggie attacks Homer with a mallet, and Marge immediately blames The Itchy & Scratchy Show for turning her violent. Marge forms S.N.U.H. (Springfieldians for Nonviolence, Understanding, and Helping) and campaigns against the show. Eventually she successfully gets the writers to change their ways and make the show less violent. Meanwhile, Michelangelo's David goes on a coast-to-coast tour of the U.S., and the members of S.N.U.H. mobilize to protest it. Marge, however, states that she likes the statue and realizes that it is wrong to censor one form of art but not another and decides to give up her anti-cartoon violence protest.","""Itchy & Scratchy & Marge""",22.2,John Swartzwelder
1000,Mark Kirkland,"""Bart Gets Hit by a Car""",Phil Hartman,10,23,023–210,1,1/10/1991,7F10,7F10,Lionel Hutz,2,2,"One day, Bart is skateboarding when he is suddenly hit by Mr. Burns's car. An attorney named Lionel Hutz suggests that the Simpsons sue Burns, promising a big cash settlement. Homer agrees, and he and Hutz spend time fabricating Bart's story, taking him to see Dr. Nick Riviera, who has dubious credentials. Marge opposes suing Burns and would be happy with him paying Bart's medical bills and apologizing. Burns eventually finds out about the phony doctor and Marge is called to the witness stand during the trial. She refuses to lie, and her testimony leads to the trial being lost.","""Bart Gets Hit by a Car""",24.8,John Swartzwelder
1000,Wesley M. Archer,"""One Fish, Two Fish, Blowfish, Blue Fish""",George Takei,11,24,024–211,1,1/24/1991,7F11,7F11,Akira,2,2,"The Simpsons go to a new Sushi bar, where Homer takes a liking to the food and decides to try Fugu, which is poisonous if not cut properly. Homer's fugu is not, and he is taken to the hospital where he is told he has 22 hours to live. Homer makes a list of things he wants to do, and spends his last day making amends with Grampa and talking to his children. Homer accepts his fate, but it turns out that he was not poisoned after all and vows to live life to its fullest.","""One Fish, Two Fish, Blowfish, Blue Fish""",24.2,Nell Scovell
1000,Wesley M. Archer,"""One Fish, Two Fish, Blowfish, Blue Fish""",Larry King,11,24,024–211,1,1/24/1991,7F11,7F11,Himself,2,2,"The Simpsons go to a new Sushi bar, where Homer takes a liking to the food and decides to try Fugu, which is poisonous if not cut properly. Homer's fugu is not, and he is taken to the hospital where he is told he has 22 hours to live. Homer makes a list of things he wants to do, and spends his last day making amends with Grampa and talking to his children. Homer accepts his fate, but it turns out that he was not poisoned after all and vows to live life to its fullest.","""One Fish, Two Fish, Blowfish, Blue Fish""",24.2,Nell Scovell
1000,Wesley M. Archer,"""One Fish, Two Fish, Blowfish, Blue Fish""",Diana Tanaka,11,24,024–211,1,1/24/1991,7F11,7F11,Hostess,2,2,"The Simpsons go to a new Sushi bar, where Homer takes a liking to the food and decides to try Fugu, which is poisonous if not cut properly. Homer's fugu is not, and he is taken to the hospital where he is told he has 22 hours to live. Homer makes a list of things he wants to do, and spends his last day making amends with Grampa and talking to his children. Homer accepts his fate, but it turns out that he was not poisoned after all and vows to live life to its fullest.","""One Fish, Two Fish, Blowfish, Blue Fish""",24.2,Nell Scovell
1000,Wesley M. Archer,"""One Fish, Two Fish, Blowfish, Blue Fish""",Sab Shimono,11,24,024–211,1,1/24/1991,7F11,7F11,Master Sushi Chef,2,2,"The Simpsons go to a new Sushi bar, where Homer takes a liking to the food and decides to try Fugu, which is poisonous if not cut properly. Homer's fugu is not, and he is taken to the hospital where he is told he has 22 hours to live. Homer makes a list of things he wants to do, and spends his last day making amends with Grampa and talking to his children. Homer accepts his fate, but it turns out that he was not poisoned after all and vows to live life to its fullest.","""One Fish, Two Fish, Blowfish, Blue Fish""",24.2,Nell Scovell
1000,Wesley M. Archer,"""One Fish, Two Fish, Blowfish, Blue Fish""",Joey Miyashima,11,24,024–211,1,1/24/1991,7F11,7F11,Toshiro,2,2,"The Simpsons go to a new Sushi bar, where Homer takes a liking to the food and decides to try Fugu, which is poisonous if not cut properly. Homer's fugu is not, and he is taken to the hospital where he is told he has 22 hours to live. Homer makes a list of things he wants to do, and spends his last day making amends with Grampa and talking to his children. Homer accepts his fate, but it turns out that he was not poisoned after all and vows to live life to its fullest.","""One Fish, Two Fish, Blowfish, Blue Fish""",24.2,Nell Scovell
1000,David Silverman,"""The Way We Was""",Jon Lovitz,12,25,025–212,1,1/31/1991,7F12,7F12,Artie Ziff,2,2,"In the first Simpsons flashback episode, Marge tells the story of how she and Homer met in high school in 1974. Marge and Homer meet for the first time during detention and he immediately tries to get Marge to be his date for the prom. She initially agrees, but ends up attending with Artie Ziff. In the end, Marge regrets going with Artie, and reveals that she has fallen in love with Homer.","""The Way We Was""",26.8,Al Jean & Mike Reiss and Sam Simon
1000,Rich Moore,"""Homer vs. Lisa and the 8th Commandment""",Phil Hartman,13,26,026–213,1,2/7/1991,7F13,7F13,Troy McClure,2,2,"Homer gets an illegal cable hook up. Despite their enjoyment of the new channels, Lisa becomes suspicious that they are stealing cable. Her suspicions are confirmed by Reverend Lovejoy and Lisa protests by no longer watching television. Meanwhile, Homer invites his friends over to watch a boxing match, but Lisa's protest gets to him. He decides not to watch the fight and cuts the cable.","""Homer vs. Lisa and the 8th Commandment""",26.2,Steve Pepoon
1000,"W.M. ""Bud"" Archer","""Oh Brother, Where Art Thou?""",Danny DeVito,15,28,028–215,1,2/21/1991,7F16,7F16,Herbert Powell,2,2,"Grampa confesses that Homer has a half-brother, who immediately tries to track him down. Homer eventually discovers that his half brother is Herbert Powell, the head of a car manufacturer in Detroit. Herb immediately starts to bond with Bart and Lisa and he invites Homer to design his own car. Homer's car design is a disaster, causing Herb to become bankrupt.","""Oh Brother, Where Art Thou?""",26.8,Jeff Martin
1000,Jim Reardon,"""Bart's Dog Gets an F""",Tracey Ullman,16,29,029–216,1,3/7/1991,7F14,7F14,Emily Winthropp,2,2,"Homer becomes fed up with Santa's Little Helper, who continually destroys things. He says he will get rid of him unless he goes to an obedience school. Bart, Lisa and Maggie have grown to love the dog and promise to train him. Santa's Little Helper does poorly there, as Bart is unwilling to use a choke chain. The night before the final exam, Bart and Santa's Little Helper play on Lisa's suggestion, thinking it will be their last few hours together. This bonding breaks down the communication barrier, meaning Santa's Little Helper can now understand Bart's commands, thus passing obedience school much to the family (except Homer)'s happiness. Meanwhile, Lisa has the mumps.","""Bart's Dog Gets an ""F""""",23.9,Jon Vitti
1000,Jim Reardon,"""Bart's Dog Gets an F""",Frank Welker,16,29,029–216,1,3/7/1991,7F14,7F14,Santa's Little Helper,2,2,"Homer becomes fed up with Santa's Little Helper, who continually destroys things. He says he will get rid of him unless he goes to an obedience school. Bart, Lisa and Maggie have grown to love the dog and promise to train him. Santa's Little Helper does poorly there, as Bart is unwilling to use a choke chain. The night before the final exam, Bart and Santa's Little Helper play on Lisa's suggestion, thinking it will be their last few hours together. This bonding breaks down the communication barrier, meaning Santa's Little Helper can now understand Bart's commands, thus passing obedience school much to the family (except Homer)'s happiness. Meanwhile, Lisa has the mumps.","""Bart's Dog Gets an ""F""""",23.9,Jon Vitti
1000,David Silverman,"""Old Money""",Audrey Meadows,17,30,030–217,1,3/28/1991,7F17,7F17,Bea Simmons,2,2,"Grampa falls in love with a woman named Beatrice Simmons. On Bea's birthday, Grampa tries to celebrate it, but he is dragged away by Homer. Bea dies that night and Grampa blames Homer for causing him to miss her last moments. After the funeral, Grampa receives $106,000. Bea's ghost appears and she tells him to forgive Homer and spend his money on a worthy cause.","""Old Money""",21.2,Jay Kogen & Wallace Wolodarsky
1000,David Silverman,"""Old Money""",Phil Hartman,17,30,030–217,1,3/28/1991,7F17,7F17,Lionel Hutz,2,2,"Grampa falls in love with a woman named Beatrice Simmons. On Bea's birthday, Grampa tries to celebrate it, but he is dragged away by Homer. Bea dies that night and Grampa blames Homer for causing him to miss her last moments. After the funeral, Grampa receives $106,000. Bea's ghost appears and she tells him to forgive Homer and spend his money on a worthy cause.","""Old Money""",21.2,Jay Kogen & Wallace Wolodarsky
1000,Jim Reardon,"""Brush with Greatness""",Ringo Starr,18,31,031–218,1,4/11/1991,7F18,7F18,Himself,2,2,"After discovering some old paintings she did of Ringo Starr, Marge decides to take an art class at Springfield Community College. There, she becomes the top student and wins the college art show. Meanwhile, Mr. Burns needs a painting for the Burns Wing of the Springfield Art Museum, and asks Marge to paint him. At first, she has trouble painting such an evil man, but then decides to paint him naked and frail. Everyone, even Burns, praises Marge's painting.","""Brush with Greatness""",20.6,Brian K. Roberts
1000,Jim Reardon,"""Brush with Greatness""",Jon Lovitz,18,31,031–218,1,4/11/1991,7F18,7F18,Professor Lombardo,2,2,"After discovering some old paintings she did of Ringo Starr, Marge decides to take an art class at Springfield Community College. There, she becomes the top student and wins the college art show. Meanwhile, Mr. Burns needs a painting for the Burns Wing of the Springfield Art Museum, and asks Marge to paint him. At first, she has trouble painting such an evil man, but then decides to paint him naked and frail. Everyone, even Burns, praises Marge's painting.","""Brush with Greatness""",20.6,Brian K. Roberts
1000,Rich Moore,"""Lisa's Substitute""",Dustin Hoffman,19,32,032–219,1,4/25/1991,7F19,7F19,Mr. Bergstrom,2,2,"When Ms. Hoover falls ill with a suspected case of Lyme disease, she is replaced by substitute teacher Mr. Bergstrom. Because of his unorthodox teaching methods, Lisa quickly takes a liking to him. Just as Lisa is about to ask Mr. Bergstrom over to her parents house for dinner, Ms. Hoover returns. Meanwhile, Bart runs for class president against Martin Prince, but loses due to the fact that nobody in the class voted, with the exception of Martin and one of his supporters.","""Lisa's Substitute""",17.7,Jon Vitti
1000,Wes M. Archer,"""Three Men and a Comic Book""",Cloris Leachman,21,34,034–221,1,5/9/1991,7F21,7F21,Mrs. Glick,2,2,"Bart, Milhouse and Martin Prince pool their money together to buy the first Radioactive Man comic from Comic Book Guy. They discover that they are unable to share the comic and due to their mistrust of each other, end up destroying it.","""Three Men and a Comic Book""",21.0,Jeff Martin
1000,Wes M. Archer,"""Three Men and a Comic Book""",Daniel Stern,21,34,034–221,1,5/9/1991,7F21,7F21,Narrator,2,2,"Bart, Milhouse and Martin Prince pool their money together to buy the first Radioactive Man comic from Comic Book Guy. They discover that they are unable to share the comic and due to their mistrust of each other, end up destroying it.","""Three Men and a Comic Book""",21.0,Jeff Martin
1000,Rich Moore,"""Stark Raving Dad""",Michael Jackson,1,36,036–301,1,9/19/1991,7F24,7F24,Leon Kompowsky,3,3,"Homer's sanity is called into question when he arrives at work wearing a pink shirt. After Bart takes Homer's mental stability test for him, Homer is committed to a mental hospital where he meets a big, hulking bald man who says his name is Michael Jackson. Meanwhile, Lisa is depressed over her upcoming eighth birthday, but is very happy in the end to receive a song that is written specially for her birthday.","""Stark Raving Dad""",22.9,Al Jean & Mike Reiss
1000,Rich Moore,"""Stark Raving Dad""",Kipp Lennon,1,36,036–301,1,9/19/1991,7F24,7F24,Leon Kompowsky's singing voice,3,3,"Homer's sanity is called into question when he arrives at work wearing a pink shirt. After Bart takes Homer's mental stability test for him, Homer is committed to a mental hospital where he meets a big, hulking bald man who says his name is Michael Jackson. Meanwhile, Lisa is depressed over her upcoming eighth birthday, but is very happy in the end to receive a song that is written specially for her birthday.","""Stark Raving Dad""",22.9,Al Jean & Mike Reiss
1000,Wes Archer,"""Mr. Lisa Goes to Washington""",Lona Williams,2,37,037–302,1,9/26/1991,8F01,8F01,Minnesota girl,3,3,"While reading a copy of Reading Digest, Homer finds an entry form for an essay contest for which Lisa signs up. When she wins the contest, she and the family travel to Washington, D.C. where the finals are to be held. Here, Lisa bears witness to the seedy underbelly of politics and becomes bitterly disappointed after learning of a bribery scandal involving Springfield's state congressman. In her final essay, she disdains and condemns the government system, which leads to the arrest of the corrupt congressman. While she fails to win the contest, her faith in government is restored.","""Mr. Lisa Goes to Washington""",20.2,George Meyer
1000,Rich Moore,"""Bart the Murderer""",Joe Mantegna,4,39,039–304,1,10/10/1991,8F03,8F03,Fat Tony,3,3,"After having a terrible day at school, Bart stumbles upon the ""Legitimate Businessman's Social Club"" Mafia bar where the leader, Fat Tony, hires him to work as their permanent bartender. However, when Principal Skinner ends up missing for nearly a week, Bart is immediately blamed for murdering him, causing Bart to get sent to court. As Bart is about to get convicted, the principal shows up which leads to Bart being cleared of all the charges.","""Bart the Murderer""",20.8,John Swartzwelder
1000,Rich Moore,"""Bart the Murderer""",Neil Patrick Harris,4,39,039–304,1,10/10/1991,8F03,8F03,Himself playing Bart Simpson,3,3,"After having a terrible day at school, Bart stumbles upon the ""Legitimate Businessman's Social Club"" Mafia bar where the leader, Fat Tony, hires him to work as their permanent bartender. However, when Principal Skinner ends up missing for nearly a week, Bart is immediately blamed for murdering him, causing Bart to get sent to court. As Bart is about to get convicted, the principal shows up which leads to Bart being cleared of all the charges.","""Bart the Murderer""",20.8,John Swartzwelder
1000,Rich Moore,"""Bart the Murderer""",Phil Hartman,4,39,039–304,1,10/10/1991,8F03,8F03,Lionel Hutz; Troy McClure,3,3,"After having a terrible day at school, Bart stumbles upon the ""Legitimate Businessman's Social Club"" Mafia bar where the leader, Fat Tony, hires him to work as their permanent bartender. However, when Principal Skinner ends up missing for nearly a week, Bart is immediately blamed for murdering him, causing Bart to get sent to court. As Bart is about to get convicted, the principal shows up which leads to Bart being cleared of all the charges.","""Bart the Murderer""",20.8,John Swartzwelder
1000,Mark Kirkland,"""Homer Defined""",Jon Lovitz,5,40,040–305,1,10/17/1991,8F04,8F04,Aristotle Amadopolis,3,3,"Homer accidentally saves the Springfield Nuclear Power Plant and is ashamed when people mistake him for a hero. When another impending meltdown threatens the Shelbyville plant, he is asked to perform his heroic deeds once again. He is lucky again, but this time he is derided as a lucky imbecile, even more so than he was hailed as a hero. Meanwhile, Milhouse's mom forbids him to be friends with Bart as she feels he is a bad influence on him.","""Homer Defined""",20.6,Howard Gewirtz
1000,Mark Kirkland,"""Homer Defined""",Chick Hearn,5,40,040–305,1,10/17/1991,8F04,8F04,Himself,3,3,"Homer accidentally saves the Springfield Nuclear Power Plant and is ashamed when people mistake him for a hero. When another impending meltdown threatens the Shelbyville plant, he is asked to perform his heroic deeds once again. He is lucky again, but this time he is derided as a lucky imbecile, even more so than he was hailed as a hero. Meanwhile, Milhouse's mom forbids him to be friends with Bart as she feels he is a bad influence on him.","""Homer Defined""",20.6,Howard Gewirtz
1000,Mark Kirkland,"""Homer Defined""",Magic Johnson,5,40,040–305,1,10/17/1991,8F04,8F04,Himself,3,3,"Homer accidentally saves the Springfield Nuclear Power Plant and is ashamed when people mistake him for a hero. When another impending meltdown threatens the Shelbyville plant, he is asked to perform his heroic deeds once again. He is lucky again, but this time he is derided as a lucky imbecile, even more so than he was hailed as a hero. Meanwhile, Milhouse's mom forbids him to be friends with Bart as she feels he is a bad influence on him.","""Homer Defined""",20.6,Howard Gewirtz
1000,Jeffrey Lynch with Brad Bird,"""Like Father, Like Clown""",Jackie Mason,6,41,041–306,1,10/24/1991,8F05,8F05,Rabbi Krustofski,3,3,"When Krusty comes over to the Simpsons’ house for dinner, he reveals to them that he is of Jewish heritage, and that his father, Rabbi Krustofski disowned him for pursuing a career in comedy, and not a successful career as a rabbi. Krusty starts to fall apart and Bart and Lisa decide to contact the rabbi and convince him to forgive Krusty. The rabbi at first refuses to see Krusty, but Bart convinces him to do so, and the two reunite.","""Like Father, Like Clown""",20.2,Jay Kogen & Wallace Wolodarsky
1000,Carlos Baeza,"""Lisa's Pony""",Frank Welker,8,43,043–308,1,11/7/1991,8F06,8F06,Princess,3,3,"When Lisa requires a new saxophone reed for her talent recital, she asks Homer, who immediately promises to buy her one. Though when Homer breaks his promise, he makes up for it by giving Lisa the one thing she had always wanted, a pony named Princess. With a new pony in the house, Homer struggles with two jobs to cover the cost. Lisa, upon seeing what Homer must go through to pay for the pony, decides to sell it.","""Lisa's Pony""",23.0,Al Jean & Mike Reiss
1000,Jim Reardon,"""Saturdays of Thunder""",Larry McKay,9,44,044–309,1,11/14/1991,8F07,8F07,Announcer,3,3,"After taking a fatherhood quiz, Homer realizes that he knows nothing about Bart, and in the result, strives to be a better father after learning that Bart is one of the racers in the Soapbox Derby. Their entry is not very good, so Bart decides to drive Martin Prince's much nicer racer. Homer is at first devastated, but decides that he must be a good father and support Bart. Bart later goes on to win the race.","""Saturdays of Thunder""",24.7,Ken Levine & David Isaacs
1000,Jim Reardon,"""Saturdays of Thunder""",Phil Hartman,9,44,044–309,1,11/14/1991,8F07,8F07,Troy McClure,3,3,"After taking a fatherhood quiz, Homer realizes that he knows nothing about Bart, and in the result, strives to be a better father after learning that Bart is one of the racers in the Soapbox Derby. Their entry is not very good, so Bart decides to drive Martin Prince's much nicer racer. Homer is at first devastated, but decides that he must be a good father and support Bart. Bart later goes on to win the race.","""Saturdays of Thunder""",24.7,Ken Levine & David Isaacs
1000,Rich Moore & Alan Smart,"""Flaming Moe's""",Phil Hartman,10,45,045–310,1,11/21/1991,8F08,8F08,Lionel Hutz,3,3,"One night at Moe's Tavern, Homer tells Moe Szyslak of a secret alcoholic cocktail made with cough syrup and fire that he calls ""Flaming Homer"". When Moe tries Homer's recipe in the bar, he finds it boosts his business and patronage, so Moe steals the recipe from Homer. Later, Moe is about to sell the recipe for $1,000,000 but Homer comes and divulges the secret ingredient, only to find out that Moe was planning to split the million with him.","""Flaming Moe's""",23.9,Robert Cohen
1000,Rich Moore & Alan Smart,"""Flaming Moe's""",Aerosmith,10,45,045–310,1,11/21/1991,8F08,8F08,Themselves,3,3,"One night at Moe's Tavern, Homer tells Moe Szyslak of a secret alcoholic cocktail made with cough syrup and fire that he calls ""Flaming Homer"". When Moe tries Homer's recipe in the bar, he finds it boosts his business and patronage, so Moe steals the recipe from Homer. Later, Moe is about to sell the recipe for $1,000,000 but Homer comes and divulges the secret ingredient, only to find out that Moe was planning to split the million with him.","""Flaming Moe's""",23.9,Robert Cohen
